MSZoning,LotArea,Utilities,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,BsmtQual,BsmtCond,CentralAir,KitchenQual,GarageType,GarageArea,GarageQual,GarageCond,SalePrice
RL,11310,AllPub,1Story,6,5,1954,Hip,TA,TA,Y,TA,Attchd,451,TA,TA,140000
RL,11317,AllPub,2Story,7,5,2003,Gable,Gd,TA,Y,Gd,Attchd,500,TA,TA,180000
RL,159000,AllPub,1.5Fin,6,7,1958,Gable,Gd,TA,Y,Gd,Attchd,389,TA,TA,277000
RL,5350,AllPub,1Story,3,2,1940,Gable,TA,TA,Y,Fa,Attchd,0,TA,TA,76500
RM,4750,AllPub,1Story,8,5,2006,Hip,Gd,TA,Y,Gd,Attchd,538,TA,TA,235000
RL,8366,AllPub,2Story,6,5,2004,Gable,Gd,TA,Y,Gd,Attchd,520,TA,TA,173000
RL,9350,AllPub,SLvl,6,7,1964,Hip,Gd,TA,Y,Gd,Attchd,309,TA,TA,158000
RL,8400,AllPub,1Story,5,6,1957,Gable,TA,TA,Y,TA,Attchd,294,TA,TA,145000
RL,8738,AllPub,2Story,7,5,1999,Gable,Gd,TA,Y,Gd,BuiltIn,429,TA,TA,230000
FV,8791,AllPub,2Story,6,5,2003,Gable,Gd,TA,Y,Gd,Attchd,673,TA,TA,207500
RL,8814,AllPub,1Story,7,5,2006,Gable,Gd,TA,Y,Gd,Attchd,660,TA,TA,220000
RL,12435,AllPub,2Story,7,5,2001,Gable,Gd,TA,Y,Gd,Attchd,564,TA,TA,231500
RM,12702,AllPub,1Story,5,5,1956,Gable,TA,TA,Y,TA,Detchd,308,TA,TA,97000
RL,19296,AllPub,SLvl,6,5,1962,Gable,TA,TA,Y,TA,Attchd,884,TA,TA,176000
RL,9588,AllPub,2Story,8,5,2007,Gable,Ex,TA,Y,Ex,BuiltIn,868,TA,TA,276000
RL,8471,AllPub,SLvl,6,7,1977,Gable,Gd,Gd,Y,TA,Attchd,492,TA,TA,151000
RM,5500,AllPub,1.5Fin,5,7,1929,Gable,TA,TA,Y,TA,Detchd,484,TA,TA,130000
RM,5232,AllPub,1Story,5,5,1925,Gable,Fa,TA,N,TA,Detchd,504,TA,TA,73000
RL,12090,AllPub,1Story,6,6,1981,Gable,Gd,TA,Y,Gd,Attchd,576,TA,TA,175500
RL,11207,AllPub,2Story,6,5,1997,Gable,Gd,TA,Y,TA,Attchd,413,TA,TA,185000
RL,8400,AllPub,2.5Fin,5,8,1939,Gable,TA,TA,Y,Gd,Detchd,240,TA,TA,179500
RM,6900,AllPub,1Story,5,6,1940,Gable,TA,TA,Y,TA,Detchd,924,Ex,Ex,120500
RL,7917,AllPub,1Story,6,7,1976,Hip,TA,Gd,Y,TA,Attchd,504,TA,Gd,148000
FV,10728,AllPub,2Story,8,5,2006,Gable,Gd,TA,Y,Gd,Attchd,1053,TA,TA,266000
RL,39104,AllPub,1Story,7,7,1954,Flat,Gd,TA,Y,TA,Attchd,439,TA,TA,241500
RL,11764,AllPub,2Story,8,7,1999,Gable,Gd,TA,Y,Gd,Attchd,671,TA,TA,290000
RL,9600,AllPub,1Story,6,6,1958,Hip,TA,TA,Y,TA,Attchd,338,TA,TA,139000
RL,8314,AllPub,1Story,5,7,1982,Gable,TA,TA,Y,TA,Attchd,264,TA,TA,124500
RL,7264,AllPub,1.5Fin,7,7,1925,Gable,TA,TA,N,Ex,Detchd,672,TA,TA,205000
RL,9196,AllPub,1Story,7,5,2003,Gable,Ex,TA,Y,Gd,Attchd,573,TA,TA,201000
RL,19138,AllPub,1Story,4,5,1951,Gable,TA,TA,Y,TA,Detchd,400,TA,TA,141000
RL,14450,AllPub,1Story,9,5,2006,Gable,Ex,TA,Y,Ex,Attchd,732,TA,TA,415298
RL,10005,AllPub,2Story,7,5,1977,Hip,Gd,TA,Y,TA,Attchd,505,TA,TA,192000
RL,11287,AllPub,2Story,7,6,1989,Gable,Gd,TA,Y,Gd,Attchd,575,TA,TA,228500
FV,7200,AllPub,1Story,6,5,2006,Gable,Gd,TA,Y,Gd,Attchd,572,TA,TA,185000
RL,5063,AllPub,1Story,7,5,2007,Gable,Gd,TA,Y,Gd,Attchd,626,TA,TA,207500
RL,9612,AllPub,1Story,8,5,2008,Gable,Gd,TA,Y,Gd,Attchd,898,TA,TA,244600
RL,8012,AllPub,1Story,6,5,1992,Gable,Gd,TA,Y,Gd,Attchd,529,TA,TA,179200
FV,4251,AllPub,2Story,7,5,2006,Gable,Gd,TA,Y,Gd,Detchd,528,TA,TA,164700
RL,9786,AllPub,1.5Fin,6,7,1962,Gable,TA,TA,Y,Gd,Attchd,440,TA,TA,159000
RL,8125,AllPub,1Story,4,4,1971,Gable,TA,TA,Y,TA,Attchd,0,TA,TA,88000
RL,9819,AllPub,1Story,5,5,1967,Gable,TA,TA,Y,TA,Detchd,280,TA,TA,122000
RL,8730,AllPub,2Story,6,7,1915,Gable,TA,TA,Y,TA,Detchd,384,TA,TA,153575
RL,15611,AllPub,2Story,8,5,2006,Gable,Gd,TA,Y,Gd,Attchd,685,Gd,TA,233230
RL,5687,AllPub,2Story,5,6,1912,Gable,TA,Fa,N,Fa,Attchd,0,TA,TA,135900
RL,11409,AllPub,1.5Fin,5,4,1949,Gable,TA,TA,Y,TA,Attchd,281,TA,TA,131000
RL,16659,AllPub,2Story,7,7,1977,Gable,TA,TA,Y,Gd,Attchd,539,TA,TA,235000
RL,9600,AllPub,1Story,6,5,1953,Hip,TA,TA,Y,TA,Attchd,418,TA,TA,167000
RL,7937,AllPub,SLvl,6,6,1984,Gable,TA,TA,Y,TA,Detchd,588,TA,TA,142500
RM,13710,AllPub,1.5Fin,5,5,1950,Gable,TA,TA,Y,TA,Attchd,282,TA,TA,152000
FV,7399,AllPub,2Story,7,5,1997,Hip,Gd,TA,Y,Gd,Detchd,576,TA,TA,239000
RL,11700,AllPub,2Story,6,6,1968,Mansard,TA,TA,Y,TA,Attchd,539,TA,TA,175000
RL,14000,AllPub,1Story,6,8,1950,Gable,TA,TA,Y,Gd,Attchd,300,TA,TA,158500
RL,15750,AllPub,1Story,5,5,1953,Hip,TA,TA,Y,TA,Attchd,375,TA,TA,157000
RL,16226,AllPub,2Story,8,5,1998,Gable,Gd,TA,Y,Gd,BuiltIn,683,TA,TA,267000
RL,13704,AllPub,1Story,7,5,2001,Gable,Gd,TA,Y,Gd,Attchd,843,TA,TA,205000
RL,9800,AllPub,1Story,5,7,1972,Gable,TA,TA,Y,TA,Attchd,552,TA,TA,149900
RM,18386,AllPub,2.5Fin,7,9,1880,Gable,TA,TA,Y,Gd,Attchd,870,TA,TA,295000
RL,10386,AllPub,1Story,8,5,2004,Gable,Gd,TA,Y,Gd,Attchd,888,TA,TA,305900
RL,13474,AllPub,2Story,7,5,1990,Gable,Gd,TA,Y,Gd,Attchd,746,TA,TA,225000
RM,7920,AllPub,1.5Fin,6,7,1920,Gable,TA,TA,Y,Fa,Attchd,0,TA,TA,89500
RL,12342,AllPub,1Story,4,5,1940,Gable,TA,TA,Y,TA,Detchd,539,TA,TA,82500
RL,12378,AllPub,1Story,9,5,2003,Gable,Ex,TA,Y,Ex,Attchd,708,TA,TA,360000
RL,7685,AllPub,2Story,6,5,1993,Gable,Gd,TA,Y,Gd,Attchd,420,TA,TA,165600
RL,8000,AllPub,1Story,6,6,1948,Gable,TA,TA,Y,TA,Detchd,240,TA,TA,132000
RM,7800,AllPub,1.5Fin,5,7,1939,Gable,Gd,TA,Y,TA,Detchd,410,TA,TA,119900
RL,215245,AllPub,1Story,7,5,1965,Hip,Gd,TA,Y,TA,Attchd,513,TA,TA,375000
RM,9600,AllPub,2Story,7,7,1925,Gable,TA,Gd,Y,Ex,Detchd,546,Fa,TA,178000
RL,7795,AllPub,2Story,7,5,2004,Gable,Gd,TA,Y,Gd,Attchd,432,TA,TA,188500
RL,13005,AllPub,2Story,7,7,1980,Gable,Gd,TA,Y,Ex,Attchd,484,TA,TA,260000
FV,9000,AllPub,2Story,8,5,2006,Gable,Gd,TA,Y,Gd,Attchd,1025,TA,TA,270000
RL,9900,AllPub,2Story,7,5,1993,Gable,Gd,TA,Y,Gd,Attchd,656,TA,TA,260000
RL,14115,AllPub,SLvl,7,5,1980,Gable,Gd,TA,Y,TA,Attchd,588,TA,TA,187500
RL,16259,AllPub,2Story,9,5,2006,Gable,Ex,Gd,Y,Gd,Attchd,840,TA,TA,342643
RL,12099,AllPub,2Story,8,5,2004,Gable,Ex,TA,Y,Gd,BuiltIn,872,TA,TA,354000
RL,10380,AllPub,2Story,7,5,1986,Gable,TA,TA,Y,Gd,Attchd,576,TA,TA,301000
RM,5820,AllPub,1Story,3,8,1955,Gable,TA,TA,Y,TA,Attchd,220,Fa,TA,126175
RL,11275,AllPub,SLvl,7,7,1967,Mansard,Gd,TA,Y,Gd,BuiltIn,564,TA,TA,242000
RM,5000,AllPub,1.5Unf,5,6,1941,Gable,TA,TA,N,TA,Detchd,360,TA,TA,87000
RL,10846,AllPub,1Story,8,5,1993,Gable,Gd,TA,Y,Gd,Attchd,473,TA,TA,324000
RL,11600,AllPub,1Story,6,5,1960,Hip,TA,TA,Y,TA,Attchd,292,TA,TA,145250
RL,11888,AllPub,2.5Unf,6,6,1916,Gable,TA,TA,N,Gd,Detchd,441,TA,TA,214500
RM,6402,AllPub,2Story,5,5,1920,Gable,TA,TA,N,TA,Detchd,189,Fa,Fa,78000
RL,10624,AllPub,1Story,5,4,1964,Gable,TA,TA,Y,TA,Detchd,352,TA,TA,119000
RL,8176,AllPub,1Story,5,6,1958,Gable,TA,TA,Y,TA,Attchd,308,TA,TA,139000
RL,10655,AllPub,1Story,8,5,2003,Gable,Gd,TA,Y,Gd,Attchd,880,TA,TA,284000
RM,8198,AllPub,1Story,7,5,2004,Gable,Gd,TA,Y,Gd,Attchd,484,TA,TA,207000
RL,9042,AllPub,2Story,6,5,1998,Gable,Gd,TA,Y,TA,Attchd,472,TA,TA,192000
RL,164660,AllPub,1.5Fin,5,6,1965,Gable,TA,TA,Y,TA,Attchd,529,TA,TA,228950
RL,14157,AllPub,1Story,9,5,2005,Hip,Ex,TA,Y,Gd,Attchd,676,TA,TA,377426
RL,9135,AllPub,1Story,7,5,2002,Gable,Gd,TA,Y,Gd,Attchd,532,TA,TA,214000
RL,14145,AllPub,1Story,7,7,1984,Gable,Gd,TA,Y,Gd,Attchd,440,TA,TA,202500
RL,12400,AllPub,1Story,6,7,1958,Hip,TA,Fa,Y,TA,Attchd,297,TA,TA,155000
RL,14191,AllPub,2Story,8,5,2002,Gable,Gd,TA,Y,Gd,Attchd,431,TA,TA,202900
RH,8400,AllPub,1Story,4,4,1950,Gable,TA,Fa,Y,TA,CarPort,294,TA,TA,82000
RL,8544,AllPub,1Story,3,4,1949,Gable,TA,TA,N,TA,Detchd,400,TA,TA,87500
RL,8849,AllPub,1Story,9,5,2005,Hip,Ex,TA,Y,Ex,Attchd,564,TA,TA,266000
RM,2592,AllPub,2Story,5,3,1976,Gable,Gd,TA,Y,TA,Attchd,336,TA,TA,85000
RL,6435,AllPub,1.5Fin,6,5,1939,Gable,TA,TA,Y,Fa,Detchd,312,TA,TA,140200
RL,12772,AllPub,1Story,6,8,1960,Hip,TA,TA,Y,TA,Attchd,301,TA,TA,151500
RL,17600,AllPub,1Story,6,5,1960,Gable,TA,TA,Y,TA,Attchd,498,TA,TA,157500
RL,2448,AllPub,2Story,7,5,2003,Gable,Gd,TA,Y,Gd,BuiltIn,474,TA,TA,154000
RL,20431,AllPub,2Story,9,5,2005,Hip,Ex,TA,Y,Ex,Attchd,706,TA,TA,437154
RL,7820,AllPub,1Story,9,5,2007,Hip,Ex,TA,Y,Ex,Attchd,617,TA,TA,318061
RL,5271,AllPub,1Story,7,5,1986,Gable,Gd,TA,Y,Gd,Attchd,445,TA,TA,190000
RL,9084,AllPub,1.5Fin,5,6,1941,Gable,TA,Fa,N,TA,Detchd,200,TA,Fa,95000
RM,8520,AllPub,1Story,6,8,1928,Gable,TA,TA,Y,TA,Detchd,484,TA,TA,105900
RL,8400,AllPub,1.5Fin,6,5,1940,Gable,TA,TA,Y,TA,Attchd,240,TA,TA,140000
RL,11249,AllPub,1Story,6,5,1995,Gable,Gd,Gd,Y,Gd,Attchd,521,TA,TA,177500
RL,9248,AllPub,1Story,6,6,1992,Gable,Gd,TA,Y,Gd,Attchd,400,TA,TA,173000
RM,4224,AllPub,1Story,5,5,1976,Gable,Gd,TA,Y,TA,Attchd,528,TA,TA,134000
RL,6930,AllPub,SLvl,5,4,1958,Hip,TA,TA,Y,Gd,BuiltIn,288,TA,TA,130000
RL,12011,AllPub,2Story,8,5,1998,Gable,Gd,TA,Y,Gd,Attchd,592,TA,TA,280000
RL,7540,AllPub,SFoyer,6,6,1978,Gable,Gd,TA,Y,TA,Attchd,470,TA,TA,156000
RL,9144,AllPub,1.5Fin,5,5,1940,Gable,TA,TA,Y,TA,Detchd,240,TA,TA,145000
RL,7301,AllPub,SFoyer,7,5,2003,Gable,TA,TA,Y,Gd,BuiltIn,672,TA,TA,198500
RM,1680,AllPub,2Story,6,8,1972,Gable,TA,TA,Y,Gd,Detchd,264,TA,TA,118000
RL,18800,AllPub,2Story,6,5,1976,Gable,Gd,TA,Y,TA,Attchd,566,TA,TA,190000
RM,10690,AllPub,2Story,5,7,1920,Hip,TA,Fa,Y,TA,Detchd,468,TA,Fa,147000
RL,9500,AllPub,1Story,6,5,1963,Gable,Gd,TA,Y,TA,Attchd,514,TA,TA,159000
RL,9150,AllPub,SLvl,6,5,1962,Gable,Gd,TA,Y,TA,Basment,296,TA,TA,165000
RL,7800,AllPub,1Story,5,6,1954,Gable,TA,TA,Y,TA,Attchd,244,TA,TA,132000
RL,9830,AllPub,1Story,5,7,1959,Gable,TA,TA,Y,Gd,Detchd,576,TA,TA,162000
RL,8121,AllPub,2Story,6,5,2000,Gable,Gd,TA,Y,TA,Attchd,460,TA,TA,172400
RL,17120,AllPub,1.5Fin,4,4,1959,Gable,TA,TA,Y,TA,Detchd,680,TA,TA,134432
RL,7175,AllPub,1Story,6,5,1984,Gable,Gd,TA,Y,TA,Attchd,264,TA,TA,125000
RL,10634,AllPub,1Story,5,6,1953,Gable,TA,TA,Y,TA,Attchd,270,TA,TA,123000
RL,8200,AllPub,2Story,7,5,2003,Gable,Gd,TA,Y,Gd,BuiltIn,434,TA,TA,219500
RL,10020,AllPub,1Story,1,1,1922,Gable,Fa,Po,N,Fa,Attchd,0,TA,TA,61000
RL,8846,AllPub,SFoyer,5,5,1996,Gable,Gd,TA,Y,TA,Detchd,576,TA,TA,148000
FV,11143,AllPub,2Story,8,5,2004,Gable,Gd,TA,Y,Gd,Attchd,610,TA,TA,340000
RL,11394,AllPub,1Story,9,2,2010,Hip,Ex,TA,Y,Ex,Attchd,834,TA,TA,394432
RL,8123,AllPub,2Story,6,5,2000,Gable,Gd,TA,Y,TA,Attchd,463,TA,TA,179000
RL,5000,AllPub,1.5Fin,5,6,1924,Gable,TA,TA,Y,Gd,Detchd,308,TA,TA,127000
FV,7200,AllPub,1Story,7,5,2006,Gable,Gd,Gd,Y,Gd,Attchd,572,TA,TA,187750
RL,9245,AllPub,2Story,7,5,2006,Gable,Gd,TA,Y,Gd,Attchd,639,TA,TA,213500
RH,9000,AllPub,1.5Unf,6,3,1928,Gable,Fa,Fa,N,TA,Detchd,360,Fa,Fa,76000
RL,53107,AllPub,2Story,6,5,1992,Gable,Gd,TA,Y,Gd,Attchd,501,TA,TA,240000
RL,3182,AllPub,1Story,8,5,2004,Gable,Gd,TA,Y,Gd,Attchd,430,TA,TA,192000
RL,8410,AllPub,1.5Fin,5,3,1910,Gambrel,TA,TA,Y,TA,Attchd,0,TA,TA,81000
RL,7200,AllPub,SLvl,6,6,1976,Hip,TA,TA,Y,TA,Detchd,352,TA,TA,125000
RL,9382,AllPub,1Story,7,5,1999,Gable,Gd,TA,Y,Gd,Attchd,577,TA,TA,191000
RL,12474,AllPub,2Story,10,5,2007,Gable,Ex,TA,Y,Ex,BuiltIn,846,TA,TA,426000
RL,8405,AllPub,1.5Fin,5,8,1900,Gable,TA,Gd,Y,TA,Detchd,384,TA,TA,119000
RL,12209,AllPub,2Story,6,5,2001,Gable,Ex,TA,Y,Gd,BuiltIn,560,TA,TA,215000
RL,8339,AllPub,1Story,5,7,1959,Gable,TA,TA,Y,TA,Attchd,294,TA,TA,106500
RL,7446,AllPub,1Story,4,5,1941,Gable,TA,TA,Y,TA,Attchd,0,TA,TA,100000
RL,10134,AllPub,1.5Fin,5,6,1940,Gable,TA,TA,Y,TA,Detchd,240,TA,TA,109000
RL,9571,AllPub,1Story,5,6,1956,Gable,TA,TA,Y,TA,Attchd,596,TA,TA,129000
RL,7200,AllPub,1Story,5,5,1972,Hip,TA,TA,Y,TA,Detchd,600,TA,TA,123000
RL,7590,AllPub,2Story,5,5,1962,Gable,TA,TA,Y,TA,Attchd,264,TA,TA,169500
RM,8967,AllPub,1Story,5,2,1920,Gable,Fa,Po,Y,TA,Detchd,338,Po,Po,67000
FV,8125,AllPub,2Story,7,5,2006,Gable,Gd,TA,Y,Gd,Attchd,438,TA,TA,241000
RL,14963,AllPub,1Story,8,5,1996,Gable,Gd,TA,Y,Ex,Attchd,500,TA,TA,245500
RL,8767,AllPub,1Story,7,5,2005,Gable,Gd,TA,Y,Gd,Attchd,400,TA,TA,164990
RL,10200,AllPub,1Story,5,8,1940,Gable,TA,TA,Y,TA,Detchd,240,TA,TA,108000
RL,12090,AllPub,2Story,8,5,1998,Hip,Gd,TA,Y,Gd,BuiltIn,420,TA,TA,258000
RL,10364,AllPub,2Story,6,5,1995,Gable,Gd,TA,Y,TA,BuiltIn,373,TA,TA,168000
RL,9991,AllPub,1Story,4,4,1976,Gable,TA,TA,Y,TA,Attchd,490,TA,TA,150000
RL,10480,AllPub,1.5Fin,6,5,1936,Gable,TA,TA,Y,TA,Detchd,240,TA,TA,115000
RL,15576,AllPub,2Story,6,7,1915,Gable,Gd,TA,Y,TA,Attchd,308,TA,TA,177000
RL,14154,AllPub,2Story,7,5,2006,Gable,Ex,Gd,Y,Gd,Attchd,947,TA,TA,280000
FV,10800,AllPub,2Story,8,5,2007,Gable,Ex,TA,Y,Ex,Attchd,836,TA,TA,339750
RL,9571,AllPub,1Story,5,3,1958,Gable,TA,Fa,Y,TA,Attchd,350,TA,TA,60000
RL,34650,AllPub,1Story,5,5,1955,Hip,TA,TA,N,TA,Attchd,572,TA,TA,145000
FV,4403,AllPub,1Story,7,5,2009,Gable,Ex,TA,Y,Gd,Attchd,484,TA,TA,222000
RM,8960,AllPub,1Story,5,6,1927,Gable,TA,TA,Y,TA,Detchd,360,TA,TA,115000
RL,11228,AllPub,2Story,7,5,1993,Gable,Gd,TA,Y,Gd,Attchd,678,TA,TA,228000
RL,8899,AllPub,1Story,7,5,2007,Gable,Gd,TA,Y,Gd,Attchd,396,TA,TA,181134
RL,7844,AllPub,2Story,6,7,1978,Hip,TA,TA,Y,TA,Attchd,440,TA,TA,149500
RL,22420,AllPub,2Story,6,6,1918,Hip,Gd,TA,N,TA,Detchd,864,TA,TA,239000
RL,8160,AllPub,1.5Fin,5,6,1940,Gable,TA,TA,N,TA,Detchd,240,TA,TA,126000
RL,8450,AllPub,1Story,5,6,1968,Gable,TA,TA,Y,TA,Attchd,304,TA,TA,142000
RM,7060,AllPub,SFoyer,7,5,1997,Gable,Gd,Gd,Y,TA,Attchd,784,TA,TA,206300
RL,16635,AllPub,1Story,6,7,1977,Gable,Gd,TA,Y,Gd,Attchd,529,TA,TA,215000
RL,21750,AllPub,1Story,5,5,1954,Hip,TA,TA,Y,TA,Attchd,520,TA,TA,113000
RL,9200,AllPub,2Story,8,5,1998,Gable,Gd,TA,Y,Gd,Attchd,696,TA,TA,315000
RL,9000,AllPub,1Story,6,5,1956,Gable,Gd,TA,Y,TA,Attchd,297,TA,TA,139000
RM,3378,AllPub,2Story,7,8,1946,Gable,TA,TA,Y,TA,Detchd,240,TA,TA,135000
RL,12800,AllPub,SLvl,7,5,1989,Gable,Gd,TA,Y,Gd,Attchd,569,TA,TA,275000
RL,8593,AllPub,1Story,4,6,1957,Hip,TA,TA,Y,TA,Detchd,352,TA,TA,109008
RL,6762,AllPub,1Story,7,5,2007,Gable,Gd,TA,Y,Gd,Attchd,628,TA,TA,195400
RL,11457,AllPub,1Story,6,5,1988,Gable,Gd,TA,Y,Gd,Attchd,576,TA,TA,175000
RM,1680,AllPub,2Story,6,5,1971,Gable,TA,TA,Y,TA,Detchd,264,TA,TA,85400
RM,5586,AllPub,1.5Fin,6,7,1920,Gable,TA,TA,Y,TA,Attchd,0,TA,TA,79900
RM,1920,AllPub,2Story,5,5,1971,Gable,TA,TA,Y,TA,Detchd,440,TA,TA,122500
RL,10839,AllPub,2Story,6,5,1997,Gable,Gd,TA,Y,TA,Attchd,470,TA,TA,181000
RM,1890,AllPub,SFoyer,4,7,1972,Gable,Gd,TA,Y,TA,Attchd,0,TA,TA,81000
RL,10667,AllPub,2Story,7,6,1996,Gable,Gd,TA,Y,Gd,Attchd,550,TA,TA,212000
RM,4400,AllPub,1.5Fin,6,8,1920,Gable,Fa,TA,Y,TA,Detchd,440,TA,TA,116000
RM,6000,AllPub,1.5Unf,6,7,1926,Gable,TA,TA,Y,TA,Detchd,180,TA,TA,119000
RL,4280,AllPub,1Story,5,6,1913,Gable,TA,TA,N,Gd,Detchd,352,Gd,TA,90350
RL,12354,AllPub,1.5Fin,6,8,1920,Gable,TA,Fa,Y,Gd,Detchd,528,TA,TA,110000
RL,15431,AllPub,1Story,10,5,2008,Hip,Ex,TA,Y,Ex,Attchd,672,TA,TA,555000
RL,12108,AllPub,1Story,4,4,1955,Gable,TA,TA,N,Fa,Attchd,0,TA,TA,118000
RM,6240,AllPub,1.5Fin,5,7,1930,Gable,TA,TA,Y,TA,Detchd,360,TA,TA,162900
RL,3922,AllPub,1Story,7,5,2006,Gable,Ex,TA,Y,Gd,Attchd,648,TA,TA,172500
RL,8750,AllPub,2Story,7,5,1994,Gable,Gd,TA,Y,Gd,Attchd,493,TA,TA,210000
RL,9855,AllPub,1Story,6,5,1956,Hip,TA,TA,Y,TA,Attchd,480,TA,TA,127500
RL,16492,AllPub,1Story,6,6,1966,Gable,TA,TA,Y,Gd,Attchd,578,TA,TA,190000
RL,11214,AllPub,2Story,7,5,1998,Gable,Gd,TA,Y,Gd,Attchd,431,TA,TA,199900
RM,8600,AllPub,1.5Fin,6,6,1937,Gable,TA,TA,Y,TA,Detchd,198,TA,TA,119500
RM,6000,AllPub,1.5Fin,3,7,1948,Gable,TA,TA,Y,TA,Detchd,308,TA,TA,120000
RM,5684,AllPub,1Story,6,8,1930,Hip,TA,TA,Y,Gd,Detchd,270,Fa,Fa,110000
RL,70761,AllPub,1Story,7,5,1975,Gable,Gd,TA,Y,Gd,Attchd,576,TA,TA,280000
RL,9303,AllPub,2Story,6,5,1996,Hip,Ex,TA,Y,TA,Attchd,422,TA,TA,204000
FV,9000,AllPub,2Story,8,5,2008,Gable,Gd,TA,Y,Gd,Attchd,676,TA,TA,210000
RL,9297,AllPub,1Story,5,5,1976,Gable,TA,TA,Y,TA,Detchd,560,TA,TA,188000
RL,9600,AllPub,1Story,7,6,1973,Hip,TA,TA,Y,TA,Attchd,528,TA,TA,175500
RM,4571,AllPub,2Story,5,5,1916,Gable,TA,TA,N,TA,Detchd,513,Fa,Fa,98000
RL,53227,AllPub,1Story,4,6,1954,Flat,Gd,TA,Y,Gd,Attchd,529,TA,TA,256000
RM,5100,AllPub,2Story,8,7,1925,Hip,TA,TA,Y,Gd,Detchd,228,TA,TA,161000
RL,7015,AllPub,1.5Fin,5,4,1950,Gable,TA,TA,Y,Gd,Detchd,352,TA,TA,110000
FV,8004,AllPub,2Story,8,5,2009,Gable,Gd,TA,Y,TA,BuiltIn,552,TA,TA,263435
RL,7200,AllPub,2Story,7,9,1936,Gable,Gd,Gd,Y,Gd,Detchd,576,TA,TA,155000
RL,8281,AllPub,1Story,5,5,1965,Gable,TA,TA,Y,TA,Detchd,360,TA,TA,62383
RL,11988,AllPub,2Story,6,7,1934,Hip,TA,TA,Y,TA,Detchd,240,TA,TA,188700
RL,8430,AllPub,1Story,5,5,1978,Gable,Gd,TA,Y,TA,Attchd,0,TA,TA,124000
RM,3072,AllPub,1Story,7,5,2004,Hip,Gd,TA,Y,Gd,Attchd,398,TA,TA,178740
RL,10628,AllPub,1Story,7,5,1970,Flat,TA,Gd,Y,TA,Attchd,526,TA,TA,167000
RL,9480,AllPub,2Story,5,7,1942,Gable,TA,TA,Y,Gd,Attchd,312,TA,TA,146500
RL,11428,AllPub,1Story,8,5,2006,Gable,Gd,TA,Y,Gd,Attchd,866,TA,TA,250000
RL,9291,AllPub,2Story,6,5,1993,Gable,Gd,TA,Y,Gd,Attchd,506,TA,TA,187000
RL,6820,AllPub,1Story,8,5,1985,Gable,Gd,TA,Y,Gd,Attchd,528,TA,TA,212000
RL,11952,AllPub,2Story,7,6,1977,Mansard,Gd,TA,Y,TA,Attchd,534,TA,TA,190000
RM,3675,AllPub,SLvl,6,5,2005,Gable,Gd,TA,Y,TA,Basment,525,TA,TA,148000
RL,14977,AllPub,1Story,8,5,2006,Gable,Ex,TA,Y,Gd,Attchd,908,TA,TA,440000
RL,5330,AllPub,1Story,8,5,2000,Gable,Gd,TA,Y,Ex,Attchd,499,TA,TA,251000
RL,8480,AllPub,1Story,5,6,1963,Hip,TA,TA,Y,TA,Detchd,624,TA,TA,132500
RL,13125,AllPub,1Story,6,5,1997,Gable,Gd,TA,Y,Gd,Attchd,508,TA,TA,208900
RL,13693,AllPub,2Story,9,5,2006,Hip,Gd,TA,Y,Ex,BuiltIn,694,TA,TA,380000
RL,10637,AllPub,1Story,8,5,2007,Hip,Ex,TA,Y,Gd,Attchd,826,TA,TA,297000
RM,5925,AllPub,1Story,4,7,1937,Hip,Fa,TA,Y,TA,Detchd,672,TA,TA,89471
RL,16033,AllPub,1Story,9,5,2004,Hip,Ex,TA,Y,Gd,Attchd,772,TA,TA,326000
RL,11846,AllPub,1Story,9,5,2003,Hip,Ex,TA,Y,Ex,Attchd,874,TA,TA,374000
RM,2500,AllPub,2Story,7,8,1915,Gable,TA,TA,Y,Ex,Attchd,164,Fa,Fa,155000
RM,4500,AllPub,1Story,6,5,1998,Hip,Ex,TA,Y,TA,Attchd,402,TA,TA,164000
RL,7758,AllPub,1Story,5,7,1962,Gable,TA,TA,Y,Gd,Detchd,264,TA,TA,132500
RL,9600,AllPub,1Story,5,7,1950,Gable,TA,TA,Y,Gd,Attchd,264,TA,TA,147000
RL,10289,AllPub,1Story,5,7,1965,Hip,TA,TA,Y,TA,Attchd,515,TA,TA,156000
RL,12243,AllPub,1Story,5,6,1971,Gable,Gd,TA,Y,TA,Attchd,487,TA,TA,175000
RL,10800,AllPub,1.5Fin,5,4,1900,Gable,TA,Fa,N,TA,Attchd,520,TA,Fa,160000
RM,1526,AllPub,SFoyer,4,8,1970,Gable,Gd,TA,Y,Gd,Attchd,286,TA,TA,86000
RM,2665,AllPub,2Story,5,6,1976,Gable,Gd,TA,Y,TA,BuiltIn,336,TA,TA,115000
RL,9490,AllPub,1.5Fin,6,7,1941,Gable,TA,TA,Y,Fa,Attchd,240,TA,TA,133000
RL,15578,AllPub,2Story,6,5,2006,Gable,Gd,TA,Y,TA,Attchd,429,TA,TA,172785
RL,7931,AllPub,1Story,5,6,1960,Gable,TA,TA,Y,TA,Detchd,308,TA,TA,155000
RM,5784,AllPub,1Story,5,8,1938,Gable,Fa,TA,Y,TA,Attchd,273,TA,TA,91300
